"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"1","(Intercept)","(Intercept)",82.64713375793,82.4711098149174,82.8231577009425,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"2","Pop_per_km2","Pop_per_km2",-0.0494473620126161,-0.50673387348762,0.407839149462388,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"3","prop_travelling_to_work","prop_travelling_to_work",-0.104428162670633,-1.1357716923108,0.92691536696953,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"4","prop_not_in_work","prop_not_in_work",-0.878958314993047,-2.14624801659232,0.388331386606223,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"5","prop_all_other_white","prop_all_other_white",-2.62749096982035,-2.97377989148128,-2.28120204815942,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"6","prop_mixed_multiple","prop_mixed_multiple",-0.261345942158335,-0.563038475234073,0.0403465909174033,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"7","prop_asian","prop_asian",-0.463353694080464,-0.753424285967751,-0.173283102193176,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"8","prop_black_afr_car","prop_black_afr_car",-0.803718100912238,-1.22674651790928,-0.380689683915195,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"9","prop_other","prop_other",-0.010247210265319,-0.413202778164772,0.392708357634134,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"10","IMD_Average_score","IMD_Average_score",0.252369974058684,-1.18630907540944,1.69104902352681,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"11","prop_o65","prop_o65",0.630292120738319,-0.265525578293312,1.52610981976995,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"12","prop_u25","prop_u25",-1.28899415780672,-1.92967169985682,-0.648316615756621,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"13","Median_annual_income","Median_annual_income",-0.278081486186111,-0.601568627406144,0.0454056550339226,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"14","Other_proportion","Other_proportion",-0.337391607877211,-0.615309727054482,-0.059473488699941,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"15","unringfenced_percapita","unringfenced_percapita",-0.394355933493726,-0.700787119715637,-0.0879247472718155,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"16","ASC_infection_control_fund_percapita","ASC_infection_control_fund_percapita",-0.222477400446337,-0.503038065888929,0.058083264996255,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"17","contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.665880838379211,-1.03876038028081,-0.293001296477617,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"18","Income_score","Income_score",-1.38816612468611,-3.07977199925961,0.303439749887391,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"19","Employment_score","Employment_score",1.35095797395974,-0.30289035852996,3.00480630644943,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"20","Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.644748065694293,-1.18658164692267,-0.102914484465917,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"21","Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",-0.365961809165262,-0.978693494074143,0.246769875743619,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"22","Crime_score","Crime_score",-0.302613485335259,-0.667626310491737,0.0623993398212189,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"23","Barriers_to_Housing_and_Services_score","Barriers_to_Housing_and_Services_score",-0.163099927680928,-0.526088292353688,0.199888436991832,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"24","Living_Environment_score","Living_Environment_score",-0.477598748571693,-0.806185607468677,-0.149011889674709,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"25","(Intercept)1","(Intercept)",79.3213375796497,79.1411625519394,79.5015126073599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"26","Pop_per_km21","Pop_per_km2",-0.16871105349458,-0.636781524286487,0.299359417297326,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"27","prop_travelling_to_work1","prop_travelling_to_work",-0.0139887998253505,-1.06965398861421,1.04167638896351,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"28","prop_not_in_work1","prop_not_in_work",-0.838143378357731,-2.1353189397885,0.459032183073037,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"29","prop_all_other_white1","prop_all_other_white",-2.64783127655318,-3.00228655683038,-2.29337599627599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"30","prop_mixed_multiple1","prop_mixed_multiple",-0.258852411315976,-0.56765960865856,0.049954786026609,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"31","prop_asian1","prop_asian",-0.558540936389695,-0.855452118111684,-0.261629754667705,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"32","prop_black_afr_car1","prop_black_afr_car",-0.725874937577515,-1.15887942236644,-0.292870452788585,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"33","prop_other1","prop_other",-0.0215117296428682,-0.433969997363338,0.390946538077602,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"34","IMD_Average_score1","IMD_Average_score",0.108948291848691,-1.36365840680703,1.58155499050442,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"35","prop_o651","prop_o65",0.762096300505387,-0.15484701972718,1.67903962073795,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"36","prop_u251","prop_u25",-1.49083717240639,-2.14662349281611,-0.835050851996663,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"37","Median_annual_income1","Median_annual_income",-0.242563826205751,-0.573679603046822,0.0885519506353195,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"38","Other_proportion1","Other_proportion",-0.361672252285895,-0.646144375605931,-0.0772001289658599,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"39","unringfenced_percapita1","unringfenced_percapita",-0.480581176209841,-0.794238775988077,-0.166923576431606,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"40","ASC_infection_control_fund_percapita1","ASC_infection_control_fund_percapita",-0.250382581914484,-0.537559569348068,0.0367944055191,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"41","contain_outbreak_management_percapita1","contain_outbreak_management_percapita",-0.618203382471051,-0.999876356300042,-0.23653040864206,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"42","Income_score1","Income_score",-1.51562813565106,-3.24712630635373,0.215870035051612,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"43","Employment_score1","Employment_score",1.36810366625648,-0.324746545112973,3.06095387762594,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"44","Education_Skills_and_Training_score1","Education_Skills_and_Training_score",-0.613628168455117,-1.16823954030244,-0.0590167966077899,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"45","Health_Deprivation_and_Disability_score1","Health_Deprivation_and_Disability_score",-0.434105106642179,-1.06128653672487,0.193076323440513,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"46","Crime_score1","Crime_score",-0.32055701025183,-0.69417775048531,0.0530637299816492,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"47","Barriers_to_Housing_and_Services_score1","Barriers_to_Housing_and_Services_score",-0.16256346043208,-0.534111998341776,0.208985077477616,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"48","Living_Environment_score1","Living_Environment_score",-0.52128273405634,-0.857618492668262,-0.184946975444417,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"49","(Intercept)2","(Intercept)",64.3621019107962,64.1376612409334,64.5865425806589,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"50","Pop_per_km22","Pop_per_km2",0.607091725444618,0.0240250744076442,1.19015837648159,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"51","prop_travelling_to_work2","prop_travelling_to_work",-1.0697850997312,-2.38480752616639,0.24523732670399,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"52","prop_not_in_work2","prop_not_in_work",-1.67037645345037,-3.28624384438154,-0.054509062519198,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"53","prop_all_other_white2","prop_all_other_white",-2.43413663462644,-2.87567496295537,-1.9925983062975,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"54","prop_mixed_multiple2","prop_mixed_multiple",-0.226845353559942,-0.611520716793235,0.15783000967335,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"55","prop_asian2","prop_asian",-1.71387018073731,-2.08372689929761,-1.34401346217701,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"56","prop_black_afr_car2","prop_black_afr_car",-1.18458621913316,-1.72397182575502,-0.645200612511299,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"57","prop_other2","prop_other",-0.0945001219103839,-0.608291689332724,0.419291445511956,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"58","IMD_Average_score2","IMD_Average_score",0.267945110491606,-1.56645357444815,2.10234379543137,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
